SG_UF;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO
MG;6;DEPUTADO FEDERAL;130002543714;4010;DUARTE JUNIOR;PSB
MG;6;DEPUTADO FEDERAL;130002543720;4000;RENATO ANDRADE;PSB
MG;6;DEPUTADO FEDERAL;130002543692;4047;IARA CENDON;PSB
MG;6;DEPUTADO FEDERAL;130002543706;4030;PEDRO GAMA;PSB
MG;6;DEPUTADO FEDERAL;130002543694;4090;LILIAN SOARES;PSB
MG;6;DEPUTADO FEDERAL;130002547905;1516;ADRIANA RODRIGUES;MDB
MG;6;DEPUTADO FEDERAL;130002547920;1569;VAGNER DE OLIVEIRA;MDB
MG;6;DEPUTADO FEDERAL;130002547924;1520;BERNARDO OTOCH;MDB
MG;6;DEPUTADO FEDERAL;130002547898;1560;MARY CAMARGOS;MDB
MG;6;DEPUTADO FEDERAL;130002547910;1535;RODRIGO LIDERANCA;MDB
MG;6;DEPUTADO FEDERAL;130002547931;1578;LETIM DO RETIRO;MDB
MG;6;DEPUTADO FEDERAL;130002534501;3001;MARCO ANTONIO SUPERMAN;NOVO
MG;6;DEPUTADO FEDERAL;130002534498;3014;THIAGO LISBOA MARANATA;NOVO
MG;6;DEPUTADO FEDERAL;130002534495;3054;ARIEVLIS;NOVO
MG;6;DEPUTADO FEDERAL;130002534465;3012;PEDRO LIMA;NOVO
MG;6;DEPUTADO FEDERAL;130002534470;3073;EGMAR GONCALVES;NOVO
MG;6;DEPUTADO FEDERAL;130002553035;3343;JARBAS PIMENTA;MOBILIZA
MG;6;DEPUTADO FEDERAL;130002553040;3366;MARILDA MACIEL;MOBILIZA
MG;6;DEPUTADO FEDERAL;130002534484;3010;GIOVANI DOS SANTOS;NOVO
MG;6;DEPUTADO FEDERAL;130002534461;3006;MIRIAM GUZELLA;NOVO
MG;6;DEPUTADO FEDERAL;130002534467;3058;ADRIANA DINIZ;NOVO
MG;6;DEPUTADO FEDERAL;130002534491;3013;PROFESSORA ABIGAIL CARVALHO;NOVO
MG;6;DEPUTADO FEDERAL;130002534494;3047;PLINIO TRUMP;NOVO
MG;6;DEPUTADO FEDERAL;130002553031;3334;VENICIO HISTORIADOR;MOBILIZA
MG;6;DEPUTADO FEDERAL;130002553032;3328;MAURICIO POETA;MOBILIZA
MG;6;DEPUTADO FEDERAL;130002553047;3365;VITORIA;MOBILIZA
MG;6;DEPUTADO FEDERAL;130002534490;3060;PAULO EUGENIO;NOVO
MG;6;DEPUTADO FEDERAL;130002545584;5505;PAULO FILHO DA FUNDACAO;PSD
MG;6;DEPUTADO FEDERAL;130002545559;5555;DIEGO ANDRADE;PSD
MG;6;DEPUTADO FEDERAL;130002545569;5569;BINGA;PSD
MG;6;DEPUTADO FEDERAL;130002545571;5599;FABRICIO SIRIO;PSD
MG;6;DEPUTADO FEDERAL;130002545580;5577;ROSE FELIX;PSD
MG;6;DEPUTADO FEDERAL;130002543595;7018;LUCIANA SCHETTINI;AVANTE
MG;6;DEPUTADO FEDERAL;130002543603;7005;PROF. FRED;AVANTE
MG;6;DEPUTADO FEDERAL;130002552138;7097;CORONEL FABIO;AVANTE
MG;6;DEPUTADO FEDERAL;130002551490;7021;ANA TOUR;AVANTE
MG;6;DEPUTADO FEDERAL;130002543629;7022;ALBERTO SILVA - BETTO;AVANTE
MG;6;DEPUTADO FEDERAL;130002543620;7087;ATALIBA SANTANA;AVANTE
MG;6;DEPUTADO FEDERAL;130002543622;7009;PAI DO KAIO JORGE;AVANTE
MG;6;DEPUTADO FEDERAL;130002543112;7070;LUIS TIBE;AVANTE
MG;6;DEPUTADO FEDERAL;130002550172;7774;BENHUR ABRAHAO;SOLIDARIEDADE
MG;6;DEPUTADO FEDERAL;130002533256;2501;HELIO BARBOSA;PRD
MG;6;DEPUTADO FEDERAL;130002533252;2522;CARLAO AGORA;PRD
MG;6;DEPUTADO FEDERAL;130002550173;7770;VALDIR SANTOS;SOLIDARIEDADE
MG;6;DEPUTADO FEDERAL;130002533253;2577;LUCIENE MELO;PRD
MG;6;DEPUTADO FEDERAL;130002533272;7722;OTAVIO CAMPOS;SOLIDARIEDADE
MG;6;DEPUTADO FEDERAL;130002533251;2505;DRA. MARCIA;PRD
MG;6;DEPUTADO FEDERAL;130002550170;7745;VIVI LIMA;SOLIDARIEDADE
MG;6;DEPUTADO FEDERAL;130002538260;1255;RONILDO REIS;PDT
MG;6;DEPUTADO FEDERAL;130002538254;1233;ADRIANA PAZ;PDT
MG;6;DEPUTADO FEDERAL;130002538266;1242;LORENA COSTA;PDT
MG;6;DEPUTADO FEDERAL;130002538272;1269;SIMONE SANTOS;PDT
MG;6;DEPUTADO FEDERAL;130002538270;1230;LILI DO GARI;PDT
MG;6;DEPUTADO FEDERAL;130002538294;1278;TIA BEL;PDT
MG;6;DEPUTADO FEDERAL;130002538258;1224;SAMARA  BRAGA;PDT
MG;6;DEPUTADO FEDERAL;130002538280;1244;LOCUTOR FRANK LIVRAMENTO;PDT
